ID,Speaker,Japanese,English,Chinese,EnglishCensored,Korean,German
660,4230,"","Ohhh, so you've brought me more medals?","喔喔！你拿獎牌來給我啦！？","","오오! 메달을 가져와 준 거니!?","Ui, du hast mir also noch mehr Medaillen gebracht?"
661,4230,"","Okay! All up, I'll give you...
[n0] yen!
We've got a deal, right?","……好！一共是
[n0]YEN！
我全部買下了！","","…좋아! 전부 해서
[n0]YEN이다!
매입하게 해 줘!","So! Alles in allem gebe ich dir ...
[n0] Yen!
Abgemacht?"
662,4230,"","...None? You don't have any medals? How sad.
Go get a bunch and come back, okay?","……什麼嘛，你身上沒有獎牌啊。
下次來記得帶一堆獎牌來啊。","","…뭐야, 안 갖고 있는 거니, 메달
잔뜩 가져와 줘, 메달","... Gar keine? Du hast keine Medaillen? Schade.
Besorg ein paar und komm dann wieder, ja?"
670,4230,"","Wh-what? You won't sell?
I can't believe you'd make this old man cry...","咦……？你不願意賣給我？
大叔我搞不好會傷心到哭出來耶……","","에…? 안 팔아 주는 거니…?
울어 버릴지도… 아저씨…","W-Wie? Du willst sie nicht verkaufen?
Dass du einen alten Mann noch zum Weinen
bringst ..."
680,4230,"","Then, sold, no takebacks! Thanks!
...Don't tell my wife about any of this, okay?","交易成立，謝謝惠顧！！
……你可千萬不要告訴我老婆哦！？","","거래 성립이다, 고마워!!
…마누라에게는 아무쪼록 비밀로 해 주렴!?","So, verkauft, keine Rückerstattung! Danke!
... Sag meiner Frau nichts von alldem, ja?"
690,4230,"","Ohhh! Thanks to you, I've completed the
whole [4Adventures] medal collection!!!","喔喔！？託你的福，
獎牌收藏品「[4冒險者]」
已經湊齊囉！！","","오오!? 네 덕분에
메달 콜렉션「[4어드벤처즈]」
가 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Abenteuer] komplett!!!"
691,4230,"","Ohhh! Thanks to you, I've completed the
whole [4Dark Masters] medal collection!!!","啊！？託你的福，
獎牌收藏品「[4黑暗大師]」
已經湊齊囉！！","","아앗!? 네 덕분에
메달 콜렉션「[4다크 마스터즈]」
가 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Meister der Dunkelheit] komplett!!!"
692,4230,"","Ohhh! Thanks to you, I've completed the
whole [4Royal Knights] medal collection!!!","太神奇了！！託你的福，
獎牌收藏品「[4皇家騎士]」
已經湊齊囉！！","","판타스틱!! 네 덕분에
메달 콜렉션「[4로얄 나이츠]」
가 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Royal Knights] komplett!!!"
693,4230,"","Ohhh! Thanks to you, I've completed the whole
[4Seven Deadly Digimon] medal collection!!!","噫！？託你的福，
獎牌收藏品「[4七大魔王]」
已經湊齊囉！！","","우히익!? 네 덕분에
메달 콜렉션「[47대 마왕]」
이 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Sieben Dämonenkönige] komplett!!!"
694,4230,"","Ohhh! Thanks to you, I've completed the
whole [4Olympos XII] medal collection!!!","太耀眼了！！託你的福，
獎牌收藏品「[4奧林匹斯十二神]」
已經湊齊囉！！","","브릴리언트!! 네 덕분에
메달 콜렉션「[4올림푸스 12신]」
이 모였어!!","Ui! Dank dir habe ich die Medaillensammlung
[4Olympos XII] komplett!!!"
695,4230,"","Yo! Thanks to you, I've completed the
whole [4Boss] medal collection!!!","喲！！託你的福，
獎牌收藏品「[4番長]」
已經湊齊囉！！","","감사함다!! 네 덕분에
메달 콜렉션「[4반쵸]」
가 모였어!!","Jippie! Dank dir habe ich die Medaillensammlung
[4Boss] komplett!!!"
696,4230,"","Wow! Thanks to you, I've completed the whole
[4Four Sovereign Digimon] medal collection!!!","哇！？託你的福，
獎牌收藏品「[4四聖獸]」
已經湊齊囉！！","","와오!? 네 덕분에
메달 콜렉션「[44성수]」
가 모였어!!","Wow! Dank dir habe ich die Medaillensammlung
[44 Herrscher-Digimon] komplett!!!"
697,4230,"","Great! Thanks to you, I've completed the
whole [4Four Great Dragons] medal collection!!!","讚！！託你的福，
獎牌收藏品「[4四大龍]」
已經湊齊囉！！","","그레이트!! 네 덕분에
메달 콜렉션「[44대룡]」
가 모였어!!","Spitze! Dank dir habe ich die Medaillensammlung
[4Vier Heilige Drachen] komplett!!!"
698,4230,"","Good heavens! Thanks to you, I've completed
the whole [4Deva] medal collection!!!","天啊！？託你的福，
獎牌收藏品「[4十二神將]」
已經湊齊囉！！","","신이시여!? 네 덕분에
메달 콜렉션「[412신장(데바)]」
가 모였어!!","Lieber Himmel! Dank dir habe ich die
Medaillensammlung [4Deva] komplett!!!"
699,4230,"","Good gods! Thanks to you, I've completed the
whole [4Celestial Digimon] medal collection!!!","我的老天！？託你的福，
獎牌收藏品「[4三大天使]」
已經湊齊囉！！","","오 마이 갓!? 네 덕분에
메달 콜렉션「[43대 천사]」
가 모였어!!","Grundgütiger! Dank dir habe ich die
Medaillensammlung [4Himmlische Digimon] komplett!!!"
700,4230,"","Justice! Thanks to you, I've completed the
whole [4Warriors of Justice] medal collection!!!","Justice！！託你的福，
獎牌收藏品「[4正義十鬥士]」
已經湊齊囉！！","","저스티스!! 네 덕분에
메달 콜렉션「[4정의의 10투사]」
가 모였어!!","Recht so! Dank dir habe ich die Medaillensammlung
[4Krieger der Gerechtigkeit] komplett!!!"
701,4230,"","Mwa-hahah! Thanks to you, I've completed the
whole [4Five Evil Warriors] medal collection!!!","哈哈哈哈哈！！託你的福，
獎牌收藏品「[4邪惡五鬥士]」
已經湊齊囉！","","후하하하하!! 네 덕분에
메달 콜렉션「[4악의 5투사]」
가 모였어!!","Muahaha! Dank dir habe ich die Medaillensammlung
[4Fünf Krieger des Bösen] komplett!!!"
702,4230,"","Hrrrahhh! Thanks to you, I've completed the
whole [4Ancient Warriors] medal collection!!!","唉呀！？託你的福，
獎牌收藏品「[4古代十鬥士]」
已經湊齊囉！！","","으햐악!? 네 덕분에
메달 콜렉션「[4고대의 10투사]」
가 모였어!!","Graarrr! Dank dir habe ich die Medaillensammlung
[4Legendäre Digikrieger] komplett!!!"
800,4230,"","Oh, now I've got over 50 medals!
Here, a token of my appreciation!
...Don't tell my wife, okay?","喔！
獎牌的總收藏數已經突破50個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。","","오!
메달의 총 콜렉션 수가 50개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Oh, jetzt habe ich mehr als 50 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
801,4230,"","Oh, now I've got over 100 medals!
Here, a token of my appreciation!
...Don't tell my wife, okay?","喔！
獎牌的總收藏數已經突破100個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。","","오!
메달의 총 콜렉션 수가 100개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Oh, jetzt habe ich mehr als 100 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
802,4230,"","Oh, now I've got over 150 medals!
Here, a token of my appreciation!
...Don't tell my wife, okay?","喔！
獎牌的總收藏數已經突破150個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。","","오!
메달의 총 콜렉션 수가 150개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Oh, jetzt habe ich mehr als 150 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
803,4230,"","Ohhh! Now I've got over 200 medals!
Here, a token of my appreciation!
...Don't tell my wife, okay?","喔喔！？
獎牌的總收藏數已經突破200個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。","","오오!?
메달의 총 콜렉션 수가 200개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ohhh, jetzt habe ich mehr als 200 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
804,4230,"","Ohhh! Now I've got over 250 medals!
Here, a token of my appreciation!
...Don't tell my wife, okay?","喔喔！？
獎牌的總收藏數已經突破250個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。","","오오!?
메달의 총 콜렉션 수가 250개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ohhh, jetzt habe ich mehr als 250 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
805,4230,"","Wow! Now I've got over 300 medals!
Here, a token of my appreciation!
...Don't tell my wife, okay?","太棒了！
獎牌的總收藏數已經突破300個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。","","굉장해!
메달의 총 콜렉션 수가 300개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Wow! Jetzt habe ich mehr als 300 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
806,4230,"","You're amazing! Now I've got over 350 medals!
Here, a token of my appreciation!
...Don't tell my wife, okay?","太、太厲害啦！？
獎牌的總收藏數已經突破350個囉！
請收下這個謝禮。　……不可以跟我老婆說哦。","","괴, 굉장한데!?
메달의 총 콜렉션 수가 350개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Unfassbar! Jetzt habe ich mehr als 350 Medaillen!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
807,4230,"","Over 400 medals! I'm truly moved...
Here, a token of my appreciation!
...Don't tell my wife, okay?","大叔我現在超感動的……！！
獎牌的總收藏數已經突破400個囉！！
請收下這個謝禮。　……不可以跟我老婆說哦。","","아저씨 지금, 맹렬히 감동하고 있어…!!
메달의 총 콜렉션 수가 400개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Mehr als 400 Medaillen! Ich bin gerührt ...
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
808,4230,"","Over 450 medals, I can hardly believe it!
Here, a token of my appreciation!
...Don't tell my wife, okay?","這、這真的是太神了！！
獎牌的總收藏數已經突破450個囉！！
請收下這個謝禮。　……不可以跟我老婆說哦。","","이, 이거 엄청난 일이 됐는걸…!!
메달의 총 콜렉션 수가 450개를 돌파했어!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Mehr als 450 Medaillen! Kaum zu glauben!
Hier, ein Zeichen meiner Anerkennung!
... Sag meiner Frau nichts, ja?"
809,4230,"","Is...is this a dream? Pinch me!
My collection--500 medals--is finally complete!
Take this--I'm gonna go tell my wife!!!","這、這真是太不得了啦……！！
我的獎牌收藏數超過500啦！！
請收下這個謝禮。　……要跟我老婆保密喔。","","이, 이거 엄청난 일이 일어났다…!!
메달 총 컬렉션 수가 500개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Träume ich? Kneif mich mal!
Meine Sammlung ist endlich komplett! 500!
Nimm das hier – ich muss das meiner Frau erzählen!"
810,4230,"","Even so! For safekeeping, for admiring, for pride,
for snuggling... I'll always need more medals!
So I'll keep on buying them--secretly, of course!","但是！保存用、欣賞用、炫燿用、蹭臉用……
對大叔我來說，獎牌是越多越好！
我接下來也會瞞著我老婆拼命收購的！","","하지만! 보존용, 감상용, 자랑용, 포교용…
아저씨에게는 메달이 얼마든지 더 필요해!
앞으로도 아내에게 비밀로 팍팍 매입할 테니까!","Und dennoch! Zur Aufbewahrung, zum stolzen
Bewundern, zum Kuscheln ... Ich brauch immer noch
mehr Medaillen! Also kaufe ich sie weiterhin!"
820,4230,"","Whether for safekeeping, for admiring, for pride,
for snuggling... I'll always need more medals!
So I'll keep on buying them--secretly, of course!","保存用、欣賞用、炫燿用、蹭臉用……
對大叔我來說，獎牌是越多越好！
我接下來也會瞞著我老婆拼命收購的！","","보존용, 감상용, 자랑용, 포교용…
아저씨에게는 메달이 얼마든지 더 필요해!
앞으로도 아내에게 비밀로 팍팍 매입할 테니까!","Ob zur Aufbewahrung, zum stolzen
Bewundern, zum Kuscheln ... Ich brauch immer noch
mehr Medaillen! Also kaufe ich sie weiterhin!"
900,4230,"","Good work finding all these medals!
Here's a little token of my appreciation.","收集獎牌真是辛苦你了！
這是我的一點小小心意，呵呵呵。","","메달 수집 수고 많았어!
이건 내 마음의 답례야, 우후후","Gut gemacht, dass du die ganzen Medaillen
gefunden hast! Hier ist ein Zeichen meiner
Anerkennung."
910,4230,"","I'm always here...
So you can always bring me medals!","大叔我會一直待在這裡的，
你就儘管拿獎牌來給我吧！","","아저씨, 언제든지 여기에 있을 테니까…
마구마구 메달을 가져와 줘!","Ich bin immer hier ...
Also kannst du mir jederzeit Medaillen bringen!"
1000,2000,"","I want to sell medals.
Show me your collection.
Nope, nothing.","出售持有的獎牌。
請他讓我看收藏品。
不，沒事。","","소지 메달을 매각한다
콜렉션을 본다
아뇨… 아무것도 아니예요","Ich möchte Medaillen verkaufen.
Zeig mir deine Sammlung.
Och, nichts."
5000,4230,"","Thank you! Thanks to you, my medal collection is
coming along nicely.","謝謝你！
多虧了你，我的獎牌收藏也大幅充實了喔。","","고맙네!
자네 덕택에 내 메달 컬렉션도
꽤 충실해졌다네","Danke! Dank dir wächst meine Medaillensammlung
stetig."
5001,4230,"","But it looks like you can't collect any more.","但是，你能收集來的，
看來只有這些了呢。","","허나 자네가 모을 수 있는 건
아무래도 여기까지인 모양이군","Aber du kannst wohl keine mehr sammeln."
5002,4230,"","There are still lots more medals in the world, but
I'll need to ask someone else to get the rest.","這個世界還有為數眾多的獎牌在，
剩下的獎牌收藏，只能拜託其他人才行了。","","이 세상엔 아직 많은 메달이 있는 것 같은데
나머지 메달 컬렉션은
다른 누군가에게 부탁해야 하려나","Es gibt noch jede Menge Medaillen auf der Welt,
aber ich werde jemand anderen bitten müssen, sie
mir zu besorgen."
5003,4230,"","In any case, I'm most grateful. Thank you for
collecting so many medals for me!","不管怎麼說，我都很感謝你喔。
能收集到這麼多獎牌，真的是太感謝你了！","","아무튼 자네한테는 감사한다네.
메달을 이만큼이나 모아줘서 정말 고맙네!","Ich bin dir jedenfalls sehr dankbar. Danke, dass
du so viele Medaillen für mich gesammelt hast!"
5004,4230,"","Am I dreaming?! I finally have all 700 medals!
Please take this as a reward. I have to tell my
wife!","我我、我、我是在做夢還是見鬼了嗎！？！
我終於把700個獎牌都收集完整啦！！！
請收下這個謝禮……也得向老婆報告一聲啊！！！","","이이, 이, 이게 꿈인가 생시인가?!?
드디어 메달 700개 컴플리트를 달성했다!!!
답례로 이걸 받아 줘 …마누라에게도 보고해야겠군!!!","Träume ich?! Endlich habe ich alle 700 Medaillen!
Bitte nimm diese Belohnung.
Das muss ich unbedingt meiner Frau sagen!"
5005,4230,"","I can't believe it! I have 550 medals in my
collection! Please take this as a reward. But
don't tell my wife.","這、這真是太不得了啦……！！
我的獎牌收藏數超過550啦！！
請收下這個謝禮。　……要跟我老婆保密喔。","","이, 이거 엄청난 일이로군…!!
메달 총 컬렉션 수가 550개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ich kann es nicht glauben! Ich habe 550 Medaillen
in meiner Sammlung. Nimm diese Belohnung.
Aber sag meiner Frau nichts."
5006,4230,"","I can't believe it! I have 600 medals in my
collection! Please take this as a reward. But
don't tell my wife.","這、這真是太不得了啦……！！
我的獎牌收藏數超過600啦！！
請收下這個謝禮。　……要跟我老婆保密喔。","","이, 이거 엄청난 일이로군…!!
메달 총 컬렉션 수가 600개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ich kann es nicht glauben! Ich habe 600 Medaillen
in meiner Sammlung. Nimm diese Belohnung.
Aber sag meiner Frau nichts."
5007,4230,"","I can't believe it! I have 650 medals in my
collection! Please take this as a reward. But
don't tell my wife.","這、這真是太不得了啦……！！
我的獎牌收藏數超過650啦！！
請收下這個謝禮。　……要跟我老婆保密喔。","","이, 이거 엄청난 일이로군…!!
메달 총 컬렉션 수가 650개를 돌파했다!!
답례로 이걸 받아 줘 …마누라에게는 비밀이야","Ich kann es nicht glauben! Ich habe 650 Medaillen
in meiner Sammlung. Nimm diese Belohnung.
Aber sag meiner Frau nichts."
5008,4230,"","Someday, I'll collect them all...all 700...
With your help, I'm one step closer!","總有一天，所有的獎牌……
我一定會完成700種獎牌的。
今後也請你多幫忙啊，呵呵呵。","","언젠가 모든 메달….
700종류 모두 컴플리트 해내고 말겠어.
앞으로도 협력 잘 부탁하지, 우후후","Eines Tages werde ich sie alle haben ... alle 700.
Dank dir bin ich dem einen Schritt näher ...!"
6000,2000,"","[d0]","[d0]","[d0]","[d0]","[d0]"
6001,2000,"","1? 2? 3? 4? 5? 6?","1? 2? 3? 4? 5? 6?","1? 2? 3? 4? 5? 6?","1? 2? 3? 4? 5? 6?","1? 2? 3? 4? 5? 6?"
