ID,boneName,xOffset,yOffset,zOffset,xRotation,yRotation,zRotation,scale
315,"J_atama",0,0.18,0.04,340,0,0,0.4
317,"J_center",0,-0.01,-0.02,251,0,0,0.58
320,"J_body2",0,-0.07,-0.03,329,0,0,0.5
321,"J_center",0,0.12,0.13,340,0,0,0.69
322,"J_ue_ago",0,0.08,0.02,340,0,0,0.64
325,"J_uwago",0,-0.06,0.18,340,0,0,0.54
326,"J_haed",0,0.73,0.18,320,0,0,0.93
327,"J_atama",0,0.21,0.14,329,0,0,1.25
341,"J_mune",0,0.04,0.033,340,0,0,0.76
342,"J_kao",0,0.008,0.006,340,0,0,0.36
343,"J_atama",0,0.015,0.003,340,0,0,0.45
344,"J_atama",0,0.105,0.05,335,0,0,1
345,"J_kao",0,0.06,-0.02,330,0,0,0.85
346,"J_atama",0,0.052,0.027,334,0,0,1.02
347,"J_head",0,0.01,0.15,315,0,0,0.61
348,"J_kami",0,-0.002,-0.007,349,0,0,0.54
349,"J_atama",0,0.069,0.003,340,0,0,1
359,"J_atama",0,0.01,0.005,340,0,0,0.43
361,"J_atama",0,0.24,0.07,330,0,0,0.57
363,"J_atama",0,0.1,0.02,330,0,0,1.3
364,"J_hed",0,0.68,0.08,314,0,0,1.3
365,"J_head",0,0.07,0.05,330,0,0,0.6
367,"J_atama",0,0,0.04,320,0,0,0.81
370,"J_atama",0,0.038,0,335,0,0,1
374,"J_center",0,0.02,0,330,0,0,0.77
375,"J_hara",0,0.03,-0.004,340,0,0,1.05
376,"J_atama",0,0.2,0.02,330,0,0,0.96
377,"J_Boshi",0.002,0.001,-0.003,0,350,348,0.7
379,"J_atama",0,0.198,0.09,340,0,0,1.8
382,"J_head",0,0.04,0.035,340,0,0,0.55
383,"J_head",0,0.32,0.6,347,0,0,1
385,"J_atama",0,-0.045,0,340,0,0,1.1
387,"J_body4",-0.27,0,-0.09,359,42,267,0.84
388,"J_mune",0,0.007,-0.003,316,0,0,0.69
389,"J_atama",0,0.004,-0.003,0,0,0,0.7
390,"J_head",0,0.1,0.013,340,0,0,0.44
391,"J_head",0,0.104,-0.059,328,0,0,0.45
392,"J_neck",0.25,-0.05,0.01,270,124,90,0.73
393,"J_body2",0,0.17,0.06,0,0,0,1
394,"J_atama",0,0.001,0.012,352,0,0,0.83
395,"J_head",0,-0.006,0.004,325,0,0,0.65
396,"J_head",0,-0.06,-0.02,337,0,0,0.8
397,"J_head",0,0.19,0.115,325,0,0,0.95
398,"J_head",0,0.09,0.06,340,0,0,0.5
399,"J_atama",0.003,0.028,0,320,355,10,0.57
400,"J_head",0,0.24,0.12,340,0,0,1.3
401,"J_neck",0,0.1,0.14,340,0,0,1.3
402,"J_atama",0,0.43,0.16,320,0,0,0.92
403,"J_head",0,0.24,0.04,334,0,0,0.5
404,"J_atama",0,-0.01,0.05,340,0,0,1
405,"J_head",0,0.38,0,350,0,0,0.42
406,"J_atama",0,0.035,0.035,0,0,0,0.37
407,"J_head",0,-0.05,0.17,325,0,0,0.75
408,"J_head",0,0.1,0.03,10,0,0,0.7
409,"J_neck",0,0.2,0.07,334,0,0,0.5
410,"J_center",0,-0.002,-0.004,327,0,0,0.41
411,"J_no",0,0.01,-0.005,340,0,0,0.87
412,"J_center",0,0.06,-0.03,330,0,0,0.7
413,"J_center",0,0.14,0.06,330,0,0,0.75
416,"J_head",0,0.16,0.02,340,0,0,0.6
417,"J_head",0,0.31,0.06,340,0,0,0.45
419,"J_head",0,0.17,-0.02,330,0,0,0.55
420,"J_head",0,0.17,-0.01,330,0,0,0.55
421,"J_head",0,0.116,0.02,335,0,0,0.33
423,"J_head",0,0.02,0.1,340,0,0,1
424,"J_atama",0,0.007,0.025,340,0,0,0.85
425,"J_head",0,0.15,-0.04,330,0,0,0.4
426,"J_head",0,0.33,0.04,350,0,0,0.37
427,"J_atama",0,0.008,0.003,340,0,0,0.33
428,"J_atama",0,0.006,0.011,340,0,0,0.6
429,"J_center",0,0.7,0.1,346,0,0,1.2
431,"J_head",0,0.17,0.11,338,0,0,0.55
434,"J_head",0,0.19,-0.21,315,0,0,0.9
435,"J_head",0,-0.08,0.123,340,0,0,0.68
437,"J_center",0,-0.001,0,340,0,0,0.6
438,"J_ue_ago",0,0.005,0.002,335,0,0,0.7
439,"J_head",0,2,0.15,346,0,0,3
440,"J_head",0,0.16,0.05,320,0,0,0.62
450,"J_atama",0,-0.007,0.025,330,0,0,0.74
451,"J_atama",0,0.02,0.003,340,0,0,0.8
452,"J_atama",0,-0.001,0.02,330,0,0,0.65
453,"J_atama",0,0.07,0.16,310,0,0,0.7
454,"J_atama",0,0,0,340,0,0,0.53
455,"J_center",0,0.027,-0.026,320,0,0,0.8
510,"J_center",0,-0.003,0.002,320,0,0,0.5
512,"J_center",0,0.005,0.003,330,0,0,0.65
514,"J_atama",0,0.014,0.001,330,0,0,0.5
515,"J_ue_ago",0,0,0,333,0,0,0.7
564,"J_atama",0,0.005,0.004,330,0,0,0.6
567,"J_center",0,-0.001,0.001,320,0,0,0.8
569,"J_atama",0,0.01,0.003,315,0,0,0.45
576,"J_zugaikotsu",0,-0.02,0.001,0,0,0,0.52
582,"J_mune",0,0.008,0.015,310,0,0,0.74
595,"J_atama",0,0.016,0.008,320,0,0,0.55
596,"J_atama",0,0.02,0.01,350,0,0,0.7
600,"J_atama",0,0.54,0.16,350,0,0,0.39
621,"J_atama",0,0.01,0.05,340,0,0,0.97
626,"J_atama",0,0.03,0,340,0,0,1
627,"J_atama",0,-0.01,0.05,25,0,0,0.7
629,"J_mune",0,0,0,319,0,0,0.53
630,"J_atama",0,0.021,0.008,340,0,0,0.75
631,"J_center",0,0.01,0.001,306,0,0,0.63
632,"J_atama",0,0.002,0.002,329,0,0,0.69
687,"J_atama",0,0.01,0.007,340,0,0,0.43
688,"J_atama",0,0.015,0.005,340,0,0,0.31
701,"J_neck",0,0.19,0.04,342,0,0,0.44
702,"J_head",0,0.1,0.05,349,0,0,0.45
703,"J_head",0,0.04,0.07,327,0,0,0.45
704,"J_head",0,-0.23,0.14,330,0,0,1.45
705,"J_head",0,0.2,0.03,333,0,0,0.54
706,"J_head",0,0.15,0.06,340,0,0,0.49
707,"J_head",0,0,0.14,310,0,0,0.43
708,"J_head",0,0.09,0.04,319,0,0,0.6
709,"J_spine01",0,0.08,0.03,329,0,0,0.5
710,"J_neck",0,0.18,0.07,330,0,0,0.9
711,"J_head",0,-0.04,0.31,320,0,0,1
712,"J_haed",0,0.73,0.18,320,0,0,0.93
713,"J_head",0,0.3,0.12,305,0,0,0.45
714,"J_head",0,0.2,-0.1,340,0,0,1
715,"J_head",0,0.25,0.05,310,0,0,0.53
716,"J_spine02",0,0.14,-0.06,10,0,0,0.52
718,"J_neck",0,0.13,0.09,343,0,0,0.45
719,"J_head",0,0.03,0.09,329,0,0,0.5
720,"J_head",0,0.09,0.05,330,0,0,0.45
721,"J_head",0,-0.03,0.13,320,0,0,0.7
722,"J_head",0,0.1,-0.04,345,0,0,0.5
723,"J_neck",0,0.44,-0.05,345,0,0,1.4
726,"J_head",0,0.09,0,318,0,0,0.39
727,"J_head",0,-0.03,0.05,320,0,0,0.45
728,"J_center",0,0,-0.1,340,0,0,0.75
729,"J_tougue2",0,-0.04,-0.06,330,0,0,0.55
730,"J_head",0,0.13,0.07,340,0,0,0.32
731,"J_head",0,0.02,0.05,340,0,0,0.46
732,"J_head",0,0.06,0.44,0,0,0,0.8
733,"J_head",0,0.05,0.01,346,0,0,0.6
734,"J_head",0,0.04,0.03,339,0,0,0.46
735,"J_neck",0,0.13,0.21,324,0,0,0.59
737,"J_head",0,0.08,0.02,325,0,0,0.41
738,"J_head",0,0.04,0.02,330,0,0,0.55
739,"J_head02",0,-0.03,0.01,340,0,0,0.5
740,"J_head",0,0.08,0.02,333,0,0,0.4
741,"J_head",0,0.11,-0.03,346,0,0,0.46
742,"J_head",0,0.11,0.01,341,0,0,0.6
743,"J_head",0,0.04,0.04,331,0,0,0.9
744,"J_head",0,-0.01,0.02,335,0,0,0.6
745,"J_head",0,0.1,0,342,0,0,0.55
747,"J_head",0,0.08,-0.01,315,0,0,0.69
748,"J_head",0,0.09,0.01,347,0,0,0.5
749,"J_head",0,0,0.02,329,0,0,0.4
750,"J_neck",0,0.19,0.04,342,0,0,0.44
751,"J_head",0,0.1,-0.04,345,0,0,0.5
752,"J_hed1",0,0.03,-0.4,340,0,0,0.63
753,"J_center",0,0.03,-0.025,350,0,0,0.7
754,"J_head",0,0.15,-0.04,330,0,0,0.4
755,"J_Boshi",0.002,0.001,-0.003,0,350,348,0.7
756,"J_atama",0,0.016,0.008,320,0,0,0.55
757,"J_head",0,0.07,0.02,324,0,0,0.33
761,"J_head",0,0.32,-0.02,310,0,0,0.5
762,"J_head",0,0.32,-0.02,310,0,0,0.5
763,"J_head",0,0.35,-0.02,330,0,0,0.5
764,"J_head",0,0.32,-0.02,310,0,0,0.5
765,"J_head",0,0.32,-0.02,310,0,0,0.5
771,"J_head",0,0.02,0.03,320,0,0,0.6
772,"J_head",0,0.23,0,15,0,0,0.3
773,"J_head",0,0.07,0.01,330,0,0,0.4
774,"J_neck",0,0.04,0.09,310,0,0,0.62
775,"J_head",0,-0.01,0.06,343,0,0,0.34
776,"J_head",0,0.05,0.04,312,0,0,0.5
777,"J_head1",0,0.03,-0.13,349,0,0,0.47
778,"J_head",0,0.1,0,340,0,0,0.4
779,"J_joint12",0,0.18,0.02,5,0,0,0.4
2,"J_head",0,0.35,-0.12,335,0,0,0.42
3,"J_head",0,0.12,0.07,330,0,0,0.52
4,"J_head",0,0.18,0,330,0,0,0.47
5,"J_head",0,0.14,0.26,340,0,0,0.82
6,"J_head",0,0.03,0.1,340,0,0,0.5
11,"J_head",0,0.15,0.08,340,0,0,0.7
16,"J_head",0,0.083,0.142,330,0,0,0.42
19,"J_head",0,-0.01,0.07,340,0,0,0.38
22,"J_head",0,0.1,0.01,337,0,0,0.44
23,"J_head",0,-0.02,0.12,340,0,0,0.65
25,"J_head",0,-0.04,0.17,340,0,0,0.64
26,"J_head",0,0.04,0.07,340,0,0,0.38
30,"J_head",0,0.05,0.14,335,0,0,0.8
31,"J_head",0,0.06,0.04,340,0,0,0.33
32,"J_head",0,0.1,0.07,340,0,0,0.4
33,"J_head",0,0.22,-0.053,340,0,0,1.3
41,"J_head",0,0.53,0.15,330,0,0,1
42,"J_head",0,0.08,0.08,340,0,0,0.46
44,"J_body",0,0.01,0,340,0,0,0.45
47,"J_head",0,0.08,0.02,335,0,0,0.5
48,"J_head",0,0.2,0.13,330,0,0,0.7
59,"J_head",0,0.1,0.15,349,0,0,0.5
60,"J_head",0,0.11,0.025,330,0,0,0.45
62,"J_center",0,0,0.03,340,0,0,0.7
63,"J_head",0,0.05,0.04,340,0,0,0.4
64,"J_head",0,0.03,0.04,320,0,0,0.38
65,"J_head",0,-0.03,0.06,340,0,0,0.44
66,"J_head",0,-0.08,-0.04,340,0,0,0.43
67,"J_head",0,0,0.01,340,0,0,0.3
75,"J_head",0,0.05,0.01,340,0,0,0.4
80,"J_head",0,0.02,0,340,0,0,0.6
82,"J_head",0,0.23,0.09,330,0,0,0.62
83,"J_head",0,0.2,0.48,340,0,0,0.95
104,"J_spine02",0,0.45,-0.01,30,0,0,0.4
105,"J_head",0.07,-0.08,0,90,10,270,0.44
106,"J_head",0,0.015,0.024,340,0,0,0.8
115,"J_head",0,0.02,0.14,350,0,0,0.6
116,"J_head",0,0.07,0.05,340,0,0,0.55
117,"J_head",0,0.056,0.04,330,0,0,0.6
118,"J_head",0,0.23,0,15,0,0,0.3
127,"J_head",0,0.1,0.075,340,0,0,0.45
128,"J_head",0,0.09,0.02,0,0,0,0.65
129,"J_head",0,0,0.09,350,0,0,0.85
130,"J_head",0,0.06,0.1,320,0,0,0.75
208,"J_head",0,0.09,0,315,0,0,0.57
209,"J_head",0.1,0,-0.06,358,140,272,0.62
210,"J_head",0,0.02,0,340,0,0,0.55
211,"atama",0,0.1,0,340,0,0,0.95
213,"J_head",0,0.11,0.04,330,0,0,0.5
214,"J_head",0,0.08,0.25,335,0,0,0.64
369,"J_atama",0,0.14,0.08,330,0,0,1.2
422,"J_head",0,0.12,0.13,330,0,0,0.88
457,"J_atama",0,0.055,0,340,0,0,0.6
458,"J_head",0,0.1,-0.04,320,0,0,0.55
548,"J_neck01",0,-0.05,0.03,0,0,0,0.7
584,"J_head",0,0.07,-0.01,340,0,0,0.85
590,"J_atama",0,0.12,0.13,340,0,0,1
607,"J_atama",0,0.02,-0.002,340,0,0,1.3
676,"J_head",0.05,-0.01,0,270,44,269,0.47
677,"J_head",0,0.11,-0.02,350,0,0,0.47
678,"J_head",0,0.038,0.02,340,0,0,0.36
679,"J_head",0,-0.05,0,310,0,0,0.65
680,"J_head",0,0.13,0,333,0,0,0.38
681,"J_head",0,0.05,0.06,345,0,0,0.57
682,"J_head",0,0.2,0.04,320,0,0,0.5
683,"J_head",0,0.008,-0.003,340,0,0,0.45
697,"J_head",0,0.16,0,320,0,0,0.56
698,"J_head",0,0.02,0.02,350,0,0,1
699,"J_head",0,0.1,0.14,0,0,0,0.5
700,"J_head",0,0.02,0.04,350,0,0,0.45
766,"J_head",0,0.16,0.02,340,0,0,0.6
781,"head",0,0.111,-0.01,325,0,0,0.33
782,"head",0,0.07,0.027,340,0,0,0.31
783,"head",0,0.1,0.01,330,0,0,0.33
784,"head",0,0.06,0.01,340,0,0,0.33
901,"J_head",0,0.13,0.02,330,0,0,0.37
902,"J_head",0,0.03,0.05,330,0,0,0.37
903,"J_head02",0,-0.03,0.01,340,0,0,0.3
904,"J_head",0,0.017,0.04,317,0,0,0.3
905,"J_head",0,0.04,0.09,350,0,0,0.3
218,"J_head",0.1,0,-0.06,358,140,272,0.62
758,"J_atama",0,0.016,0.008,320,0,0,0.55
759,"J_atama",0,0.038,0,335,0,0,1
760,"J_mune",0,0.04,0.033,340,0,0,0.76
675,"J_head",0,0.038,0.02,340,0,0,0.36
20,"J_head",0,0.08,0.02,330,0,0,0.3
102,"J_head",0,0.18,-0.03,300,0,0,0.6
190,"J_head",0,0.06,0.08,332,0,0,0.6
191,"J_head",0,0.01,0.01,330,0,0,0.7
192,"J_head",0,-0.03,0.09,310,0,0,0.9
193,"J_head",0,-0.1,0.1,330,0,0,1
328,"J_root_core",0,0.8,0.48,0,0,0,0.8
