ID,Japanese,English,Chinese,EnglishCensored,Korean,German
102,"","Fighter Patch","攻擊型修正檔","","공격형 패치","Kämpfer-Patch"
103,"","Defender Patch","防禦型修正檔","","방어형 패치","Verteidiger-Patch"
104,"","Brainy Patch","智力型修正檔","","지력형 패치","Intelligenter Patch"
105,"","Nimble Patch","速度型修正檔","","민첩형 패치","Geschickter Patch"
106,"","Development Patch","開發型修正檔","","개발형 패치","Entwicklungs-Patch"
107,"","Searcher Patch","調查型修正檔","","조사형 패치","Sucher-Patch"
110,"","HP Restraint Chip C","HP抑制晶片C","","HP억제칩 C","TP-Limitierungs-Chip C"
111,"","HP Restraint Chip B","HP抑制晶片B","","HP억제칩 B","TP-Limitierungs-Chip B"
112,"","HP Restraint Chip A","HP抑制晶片A","","HP억제칩 A","TP-Limitierungs-Chip A"
113,"","SP Restraint Chip C","SP抑制晶片C","","SP억제칩 C","SP-Limitierungs-Chip C"
114,"","SP Restraint Chip B","SP抑制晶片B","","SP억제칩 B","SP-Limitierungs-Chip B"
115,"","SP Restraint Chip A","SP抑制晶片A","","SP억제칩 A","SP-Limitierungs-Chip A"
116,"","ATK Restraint Chip C","ATK抑制晶片C","","ATK억제칩 C","ANG-Limitierungs-Chip C"
117,"","ATK Restraint Chip B","ATK抑制晶片B","","ATK억제칩 B","ANG-Limitierungs-Chip B"
118,"","ATK Restraint Chip A","ATK抑制晶片A","","ATK억제칩 A","ANG-Limitierungs-Chip A"
119,"","DEF Restraint Chip C","DEF抑制晶片C","","DEF억제칩 C","VER-Limitierungs-Chip C"
120,"","DEF Restraint Chip B","DEF抑制晶片B","","DEF억제칩 B","VER-Limitierungs-Chip B"
121,"","DEF Restraint Chip A","DEF抑制晶片A","","DEF억제칩 A","VER-Limitierungs-Chip A"
122,"","INT Restraint Chip C","INT抑制晶片C","","INT억제칩 C","INT-Limitierungs-Chip C"
123,"","INT Restraint Chip B","INT抑制晶片B","","INT억제칩 B","INT-Limitierungs-Chip B"
124,"","INT Restraint Chip A","INT抑制晶片A","","INT억제칩 A","INT-Limitierungs-Chip A"
125,"","SPD Restraint Chip C","SPD抑制晶片C","","SPD억제칩 C","GES-Limitierungs-Chip C"
126,"","SPD Restraint Chip B","SPD抑制晶片B","","SPD억제칩 B","GES-Limitierungs-Chip B"
127,"","SPD Restraint Chip A","SPD抑制晶片A","","SPD억제칩 A","GES-Limitierungs-Chip A"
200,"","Exciting Meat","心兒怦怦肉","","두근두근 고기","Tolles Fleisch"
201,"","Best Meat","頂極肉品","","최고급 고기","Bestes Fleisch"
202,"","Vigor Mushroom","精力旺盛菇","","터프니스 버섯","Lebenspilz"
203,"","Mental Melon","意志埾韌哈蜜瓜","","멘탈 멜론","Mentale Melone"
204,"","Power Pine","力大無窮鳳梨","","파워풀 파인","Kraftananas"
205,"","Aegis Apple","銅牆鐵壁蘋果","","가드 애플","Ägis-Apfel"
206,"","Clever Carrot","聰明絕頂紅蘿蔔","","인텔리 당근","Schlaue Karotte"
207,"","Boost Banana","行疾如風香蕉","","액셀 바나나","Boost-Banane"
208,"","Miracle Meat","天降奇蹟肉","","미라클 고기","Wunderfleisch"
209,"","Kyoko's Coffee (Rainbow)","杏子的咖啡【彩虹色】","","쿄코의 커피(무지개색)","Kyokos Kaffee (Reg.)"
210,"","Nokia's Strange Candy","諾奇雅的奇妙糖果","","노키아의 이상한 사탕","Nokias Süßigkeit"
211,"","Arata's Prized Comic","新的珍藏漫畫","","아라타의 레어 코믹스","Aratas toller Comic"
212,"","Yuuko's Grand Feast","悠子的滿漢全席","","유코의 만한전석","Yuukos Festmahl"
213,"","DVD: Gangster Girls","DVD【黑道獨生女】","","DVD(야쿠자의 외동딸들)","DVD: Gangsterbräute"
214,"","Popular Guy's Guide","花花公子攻略集","","인기있는 남자의 공략본","Für beliebte Typen"
215,"","Vanguard K's Mask","先鋒K的面具","","뱅 가드 K의 마스크","Vorreiter Ks Maske"
216,"","Erika's Tarte Tatin","艾莉卡做的法式塔丁蘋果塔","","에리카의 수제 타르트 타탱","Erikas Tarte Tatin"
217,"","Ryuji's Bento ","龍司做的手工便當","","류지의 수제 도시락","Ryujis Bento "
218,"","Chitose's Cookie","千歲給的中意餅乾","","치토세의 맛있는 사블레","Chitoses Keks"
219,"","Yu's Chocolate Cake","優做的手工巧克力蛋糕","","유우의 수제 가토 쇼콜라","Yus Schokokuchen"
220,"","Yuuko's Omelet","悠子做的手工蛋包飯","","유코의 수제 오믈렛","Yuukos Omelett"
221,"","Fei's Warabimochi","菲做的手工蕨餅","","페이의 수제 고사리 모치","Feis Warabimochi"
222,"","Date's Bun","伊達做的手工紅豆麵包","","다테의 수제 팥빵","Dates Brötchen"
223,"","Matayoshi's Milk","又吉給的中意牛奶","","마타요시의 맛있는 우유","Matayoshis Milch"
224,"","Nokia's Kuzumochi","諾奇雅做的手工葛餅","","노키아의 수제 쿠즈모치","Nokias Kuzumochi"
225,"","Agumon and Gabumon's Meat","亞古獸跟加布獸給的特製肉","","아구몬과 파피몬의 특제 고기","Fleisch (Ag. & Gab.)"
226,"","Arata's Muffin","新給的中意瑪芬","","아라타의 맛있는 머핀","Aratas Muffin"
227,"","Lillymon's Meat","花仙獸給的特製肉","","릴리몬의 특제 고기","Lillymons Fleisch"
228,"","Renamon's Meat","妖狐獸給的特製肉","","레나몬의 특제 고기","Renamons Fleisch"
229,"","Beelzemon's Meat","墮天地獄獸給的特製肉","","베르제브몬의 특제 고기","Beelzemons Fleisch"
230,"","Leomon's Meat","獅子獸給的特製肉","","레오몬의 특제 고기","Leomons Fleisch"
301,"","HP Attach E","HP附件E","","HP어태치 E","TP-Zusatz E"
302,"","HP Attach D","HP附件D","","HP어태치 D","TP-Zusatz D"
303,"","HP Attach C","HP附件C","","HP어태치 C","TP-Zusatz C"
304,"","HP Attach B","HP附件B","","HP어태치 B","TP-Zusatz B"
305,"","HP Attach A","HP附件A","","HP어태치 A","TP-Zusatz A"
306,"","SP Attach E","SP附件E","","SP어태치 E","SP-Zusatz E"
307,"","SP Attach D","SP附件D","","SP어태치 D","SP-Zusatz D"
308,"","SP Attach C","SP附件C","","SP어태치 C","SP-Zusatz C"
309,"","SP Attach B","SP附件B","","SP어태치 B","SP-Zusatz B"
310,"","SP Attach A","SP附件A","","SP어태치 A","SP-Zusatz A"
311,"","ATK Attach E","ATK附件E","","ATK어태치 E","ANG-Zusatz E"
312,"","ATK Attach D","ATK附件D","","ATK어태치 D","ANG-Zusatz D"
313,"","ATK Attach C","ATK附件C","","ATK어태치 C","ANG-Zusatz C"
314,"","ATK Attach B","ATK附件B","","ATK어태치 B","ANG-Zusatz B"
315,"","ATK Attach A","ATK附件A","","ATK어태치 A","ANG-Zusatz A"
316,"","DEF Attach E","DEF附件E","","DEF어태치 E","VER-Zusatz E"
317,"","DEF Attach D","DEF附件D","","DEF어태치 D","VER-Zusatz D"
318,"","DEF Attach C","DEF附件C","","DEF어태치 C","VER-Zusatz C"
319,"","DEF Attach B","DEF附件B","","DEF어태치 B","VER-Zusatz B"
320,"","DEF Attach A","DEF附件A","","DEF어태치 A","VER-Zusatz A"
321,"","INT Attach E","INT附件E","","INT어태치 E","INT-Zusatz E"
322,"","INT Attach D","INT附件D","","INT어태치 D","INT-Zusatz D"
323,"","INT Attach C","INT附件C","","INT어태치 C","INT-Zusatz C"
324,"","INT Attach B","INT附件B","","INT어태치 B","INT-Zusatz B"
325,"","INT Attach A","INT附件A","","INT어태치 A","INT-Zusatz A"
326,"","SPD Attach E","SPD附件E","","SPD어태치 E","GES-Zusatz E"
327,"","SPD Attach D","SPD附件D","","SPD어태치 D","GES-Zusatz D"
328,"","SPD Attach C","SPD附件C","","SPD어태치 C","GES-Zusatz C"
329,"","SPD Attach B","SPD附件B","","SPD어태치 B","GES-Zusatz B"
330,"","SPD Attach A","SPD附件A","","SPD어태치 A","GES-Zusatz A"
331,"","HIT Attach C","HIT附件C","","HIT어태치 C","TRE-Zusatz C"
332,"","HIT Attach B","HIT附件B","","HIT어태치 B","TRE-Zusatz B"
333,"","HIT Attach A","HIT附件A","","HIT어태치 A","TRE-Zusatz A"
334,"","AGL Attach C","AGL附件C","","AGL어태치 C","GEW-Zusatz C"
335,"","AGL Attach B","AGL附件B","","AGL어태치 B","GEW-Zusatz B"
336,"","AGL Attach A","AGL附件A","","AGL어태치 A","GEW-Zusatz A"
337,"","CRT Attach C","CRT附件C","","CRT어태치 C","KRT-Zusatz C"
338,"","CRT Attach B","CRT附件B","","CRT어태치 B","KRT-Zusatz B"
339,"","CRT Attach A","CRT附件A","","CRT어태치 A","KRT-Zusatz A"
340,"","Energy Disk","活力光碟","","에너지 디스크","Energiedisc"
341,"","Cheerful Disk","愉悅光碟","","치어풀 디스크","Lachdisc"
342,"","Tough Disk","堅毅光碟","","터프 디스크","Zähe Disc"
343,"","Soul Disk","靈魂光碟","","소울 디스크","Seelendisc"
344,"","Charge Disk","突擊光碟","","차지 디스크","Sturmdisc"
345,"","Oracle Disk","神諭光碟","","오라클 디스크","Orakeldisc"
346,"","Mind Disk","意志光碟","","마인드 디스크","Bewusstseinsdisc"
347,"","Mage Disk","法師光碟","","메이지 디스크","Magierdisc"
348,"","Thief Disk","盜賊光碟","","시프 디스크","Diebesdisc"
349,"","Fighter Disk","戰士光碟","","파이터 디스크","Kämpferdisc"
350,"","Sage Disk","賢者光碟","","세이지 디스크","Weisendisc"
351,"","Assassin Disk","刺客光碟","","어쌔신 디스크","Meuchelmörderdisc"
352,"","Bishop Disk","主教光碟","","비숍 디스크","Bischofsdisc"
353,"","Monk Disk","僧侶光碟","","몽크 디스크","Mönchsdisc"
354,"","Spirit Disk","神靈光碟","","스피릿 디스크","Geistdisc"
355,"","Ranger Disk","遊俠光碟","","레인저 디스크","Waldläuferdisc"
356,"","Feather Disk","輕羽光碟","","페더 디스크","Federdisc"
357,"","Gladiator Disk","劍鬥士光碟","","글래디에이터 디스크","Gladiatorendisc"
358,"","Master Disk","大師光碟","","마스터 디스크","Meisterdisc"
359,"","Flare Guard","火之守護者","","플레어 가드","Flammendeckung"
360,"","Flare Guard DX","火之守護者DX","","플레어 가드 DX","Flammendeckung DX"
361,"","Aqua Guard","水之守護者","","아쿠아 가드","Wasserdeckung"
362,"","Aqua Guard DX","水之守護者DX","","아쿠아 가드 DX","Wasserdeckung DX"
363,"","Plant Guard","木之守護者","","플랜트 가드","Pflanzendeckung"
364,"","Plant Guard DX","木之守護者DX","","플랜트 가드 DX","Pflanzendeckung DX"
365,"","Electric Guard","雷之守護者","","일렉트릭 가드","Elektrodeckung"
366,"","Electric Guard DX","雷之守護者DX","","일렉트릭 가드 DX","Elektrodeckung DX"
367,"","Sand Guard","土之守護者","","샌드 가드","Sanddeckung"
368,"","Sand Guard DX","土之守護者DX","","샌드 가드 DX","Sanddeckung DX"
369,"","Wind Guard","風之守護者","","윈드 가드","Winddeckung"
370,"","Wind Guard DX","風之守護者DX","","윈드 가드 DX","Winddeckung DX"
371,"","Shine Guard","光之守護者","","샤인 가드","Lichtdeckung"
372,"","Shine Guard DX","光之守護者DX","","샤인 가드 DX","Lichtdeckung DX"
373,"","Dark Guard","闇之守護者","","다크 가드","Dunkeldeckung"
374,"","Dark Guard DX","闇之守護者DX","","다크 가드 DX","Dunkeldeckung DX"
375,"","Noise Guard","雜訊守護者","","노이즈 가드","Lärmdeckung"
376,"","Noise Guard DX","雜訊守護者DX","","노이즈 가드 DX","Lärmdeckung DX"
377,"","Master Guard","萬能守護者","","마스터 가드","Meisterdeckung"
378,"","Poison Barrier","劇毒屏障","","포이즌 배리어","Giftbarriere"
379,"","Poison Barrier DX","劇毒屏障DX","","포이즌 배리어 DX","Giftbarriere DX"
380,"","Panic Barrier","混亂屏障","","패닉 배리어","Panikbarriere"
381,"","Panic Barrier DX","混亂屏障DX","","패닉 배리어 DX","Panikbarriere DX"
382,"","Paralysis Barrier","麻痺屏障","","패럴라이즈 배리어","Lähmungsbarriere"
383,"","Paralysis Barrier DX","麻痺屏障DX","","패럴라이즈 배리어 DX","Lähmungsbarriere DX"
384,"","Sleep Barrier","睡眠屏障","","슬립 배리어","Schlafbarriere"
385,"","Sleep Barrier DX","睡眠屏障DX","","슬립 배리어 DX","Schlafbarriere DX"
386,"","Stun Barrier","暈眩屏障","","스턴 배리어","Betäubungsbarriere"
387,"","Stun Barrier DX","暈眩屏障DX","","스턴 배리어 DX","Betäubungsbarr. DX"
388,"","Pixel Barrier","液晶化屏障","","도트 배리어","Pixelbarriere"
389,"","Pixel Barrier DX","液晶化屏障DX","","도트 배리어 DX","Pixelbarriere DX"
390,"","Bug Barrier","Bug屏障","","버그 배리어","Fehlerbarriere"
391,"","Bug Barrier DX","Bug屏障DX","","버그 배리어 DX","Fehlerbarriere DX"
392,"","Death Barrier","即死屏障","","데스 배리어","Todesbarriere"
393,"","Death Barrier DX","即死屏障DX","","데스 배리어 DX","Todesbarriere DX"
394,"","Master Barrier","萬能屏障","","마스터 배리어","Meisterbarriere"
395,"","CAM USB","友情的USB","","우정의 USB","KAM-USB"
396,"","Ninja USB","忍者的USB","","닌자의 USB","Ninja-USB"
397,"","Tactician USB","軍師的USB","","군사의 USB","Taktiker-USB"
398,"","Billionaire USB","億萬富翁的USB","","억만장자의 USB","Milliardärs-USB"
399,"","Large Capacity USB","大容量的USB","","대용량의 USB","USB mit großem Volumen"
400,"","Researcher USB","探索者的USB","","탐구자의 USB","Forscher-USB"
401,"","Yuugo Special Program","YUGO特製程式","","유고의 특제 프로그램","Yuugo-Spezialprog."
402,"","Memetan Replica","小梅梅的複製品","","메메땅의 레플리카","Memetan-Kopie"
403,"","Pen Block","PEN阻隔","","PEN블록","Blockmarker"
501,"","Flame Symbol","炎之符號","","불꽃의 심볼","Flammensymbol"
502,"","Water Symbol","水之符號","","물의 심볼","Wassersymbol"
503,"","Wood Symbol","木之符號","","나무의 심볼","Holzsymbol"
504,"","Earth Symbol","土之符號","","대지의 심볼","Erdsymbol"
505,"","Electric Symbol","雷之符號","","전기의 심볼","Elektrosymbol"
506,"","Wind Symbol","風之符號","","바람의 심볼","Windsymbol"
507,"","Sacred Symbol","聖心之符號","","성심의 심볼","Heiliges Symbol"
508,"","Dark Night Symbol","闇夜之符號","","암야의 심볼","Dunkle Nacht-Symbol"
509,"","Void Symbol","虛無之符號","","허무의 심볼","Nichts-Symbol"
520,"","Developer Know-How","開發者的心得","","개발자의 마음가짐","Entwicklerwissen"
521,"","Sleuth's Secret","偵探的奧秘","","탐정의 극의","Detektiv-Geheimnis"
522,"","HP Generator","HP產生器","","HP제네레이터","TP-Generator"
523,"","SP Generator","SP產生器","","SP제네레이터","SP-Generator"
524,"","Sandbag","拳擊沙包","","샌드백","Sandsack"
525,"","Punch Bag","拳擊機","","펀치머신","Boxsack"
526,"","Study Room","讀書室","","스터디룸","Studierzimmer"
527,"","Treadmill","跑步機","","런닝머신","Laufband"
528,"","Mega HP Generator","超級HP產生器","","메가 HP제네레이터","Mega-TP-Generator"
529,"","Mega SP Generator","超級SP產生器","","메가 SP제네레이터","Mega-SP-Generator"
530,"","Top Sandbag","高級拳擊沙包","","고급 샌드백","Supersandsack"
531,"","Top Punch Bag","高級拳擊機","","고급 펀치머신","Superboxsack"
532,"","Top Study Room","高級讀書室","","고급 스터디룸","Superstudierzimmer"
533,"","Top Treadmill","高級跑步機","","고급 런닝머신","Superlaufband"
534,"","Giga HP Generator","究極HP產生器","","기가 HP제네레이터","Giga-TP-Generator"
535,"","Giga SP Generator","究極SP產生器","","기가 SP제네레이터","Giga-SP-Generator"
536,"","Best Sandbag","超高級拳擊沙包","","최고급 샌드백","Bester Sandsack"
537,"","Best Punch Bag","超高級拳擊機","","최고급 펀치머신","Bester Boxsack"
538,"","Best Study Room","超高級讀書室","","최고급 스터디룸","Bestes Studierzimmer"
539,"","Best Treadmill","超高級跑步機","","최고급 런닝머신","Bestes Laufband"
601,"","Hot Guy's Cellphone","帥氣男子的手機","","훈남의 핸드폰","Handy von heißem Kerl"
602,"","Boxing Assoc. Card","拳擊協會人員的名片","","복싱협회 사람의 명함","Karte vom Boxverband"
603,"","Small Gear","小小的齒輪","","작은 톱니바퀴","Kleines Zahnrad"
604,"","Ogremon Bone","奧加獸的骨頭","","우가몬의 뼈","Ogremons Knochen"
605,"","Growlmon's Noodles","古拉獸的手作拉麵","","그라우몬의 수제 라면","Growlmons Nudeln"
606,"","Monster Drawing","鉛筆繪製的妖怪畫像","","연필로 그림 괴물 그림","Monsterzeichnung"
607,"","Warm Blanket","溫暖的毛毯","","따뜻한 담요","Warme Decke"
608,"","Old Music Box","老舊的音樂盒","","낡은 오르골","Alte Spieluhr"
609,"","Daily Tokkaido Sport","日刊東海道體育","","일간 도카이도 스포츠","Täglicher Tokkaido-Sport"
610,"","Mystery Herb","神祕藥草","","수수께끼의 약초","Geheimnisvolles Kraut"
611,"","Lucemon's Wings","光明獸的羽毛","","루체몬의 날개","Lucemons Flügel"
612,"","PlatinumSukamon's ?","白金大便獸的「那個」","","화이트스카몬의 그것","PlatinumSukamons ?"
613,"","Virus medicine","病毒種專用的藥","","바이러스종 전용약","Virus-Medizin"
614,"","Data medicine","資料種專用的藥","","데이터종 전용약","Datei-Medizin"
615,"","Vaccine medicine","疫苗種專用的藥","","백신종 전용약","Impfstoff-Medizin"
616,"","Free medicine","自由種專用的藥","","프리종 전용약","Neutrale Medizin"
617,"","Datamon Trial Med","分子獸開發的新藥","","데이터몬이 개발한 신약","Datamon-Versuchsmedizin"
618,"","Stamp Card","集章卡","","스탬프 카드","Stempelkarte"
619,"","Mystery CD","○○的CD","","○○의 CD","Geheimnisvolle CD"
620,"","Syakomon's Shell","蝦蛄獸的貝殼","","샤코몬의 껍질","Syakomons Panzer"
621,"","WarGreymon's Diary","戰鬥暴龍獸的日記","","워그레이몬의 일기","WarGreymons Tagebuch"
622,"","Someone's Property","某個人的遺失物","","누군가의 분실물","Eigentum von jemandem"
623,"","Property in a Box","箱子裡的遺失物","","상자에 든 분실물","Eigentum in einer Kiste"
624,"","Property in a Bag","袋子裡的遺失物","","자루에 든 분실물","Eigentum in einem Beutel"
625,"","Mysterious URL","神祕的URL","","수수께끼의 URL","Geheimnisvolle URL"
626,"","Horn of Wrath","憤怒之角","","분노의 뿔","Horn des Zorns"
627,"","Fang of Gluttony","暴食之牙","","폭식의 어금니","Reißzahn der Völlerei"
628,"","Hair of Lust","色慾之髮","","색욕의 머리카락","Haar der Lust"
629,"","Wings of Pride","傲慢之翼","","오만의 날개","Flügel des Stolzes"
630,"","Beard of Greed","貪婪之鬚","","탐욕의 수염","Bart der Gier"
631,"","Scales of Envy","嫉妒之鱗","","질투의 비늘","Schuppen des Neides"
632,"","Nails of Sloth","怠惰之爪","","나태의 손톱","Nägel der Faulheit"
633,"","Key Item 33","貴重品33","","소중한 것 33","Schlüsselitem 33"
634,"","Key Item 34","貴重品34","","소중한 것 34","Schlüsselitem 34"
635,"","Key Item 35","貴重品35","","소중한 것 35","Schlüsselitem 35"
636,"","Key Item 36","貴重品36","","소중한 것 36","Schlüsselitem 36"
637,"","Key Item 37","貴重品37","","소중한 것 37","Schlüsselitem 37"
638,"","Key Item 38","貴重品38","","소중한 것 38","Schlüsselitem 38"
639,"","Key Item 39","貴重品39","","소중한 것 39","Schlüsselitem 39"
640,"","Key Item 40","貴重品40","","소중한 것 40","Schlüsselitem 40"
641,"","Key Item 41","貴重品41","","소중한 것 41","Schlüsselitem 41"
642,"","Key Item 42","貴重品42","","소중한 것 42","Schlüsselitem 42"
643,"","Key Item 43","貴重品43","","소중한 것 43","Schlüsselitem 43"
644,"","Key Item 44","貴重品44","","소중한 것 44","Schlüsselitem 44"
645,"","Key Item 45","貴重品45","","소중한 것 45","Schlüsselitem 45"
646,"","Key Item 46","貴重品46","","소중한 것 46","Schlüsselitem 46"
647,"","Key Item 47","貴重品47","","소중한 것 47","Schlüsselitem 47"
648,"","Key Item 48","貴重品48","","소중한 것 48","Schlüsselitem 48"
649,"","Key Item 49","貴重品49","","소중한 것 49","Schlüsselitem 49"
650,"","Key Item 50","貴重品50","","소중한 것 50","Schlüsselitem 50"
651,"","Select Coffee Beans","嚴選咖啡豆","","특선 커피콩","Ausgewählte Kaffeebohnen"
652,"","Zaxon Mask","Zaxon的面具","","잭슨 가면","Zaxon-Maske"
653,"","Harmonious Will","和諧的意志","","조화의 의사","Harmonischer Wille"
654,"","Steel Will","鋼鐵的意志","","강철의 의사","Stahlwille"
655,"","IC Card","IC卡","","IC카드","Chipkarte"
656,"","ParallelWorld ICCard","平行世界的IC卡","","패럴렐 월드 IC카드","Parallelwelt-Chipkarte"
657,"","Key Item 57","貴重品57","","소중한 것 57","Schlüsselitem 57"
658,"","Key Item 58","貴重品58","","소중한 것 58","Schlüsselitem 58"
659,"","Key Item 59","貴重品59","","소중한 것 59","Schlüsselitem 59"
660,"","Key Item 60","貴重品60","","소중한 것 60","Schlüsselitem 60"
661,"","Key Item 61","貴重品61","","소중한 것 61","Schlüsselitem 61"
662,"","Key Item 62","貴重品62","","소중한 것 62","Schlüsselitem 62"
663,"","Key Item 63","貴重品63","","소중한 것 63","Schlüsselitem 63"
664,"","Key Item 64","貴重品64","","소중한 것 64","Schlüsselitem 64"
665,"","Key Item 65","貴重品65","","소중한 것 65","Schlüsselitem 65"
666,"","Key Item 66","貴重品66","","소중한 것 66","Schlüsselitem 66"
667,"","Key Item 67","貴重品67","","소중한 것 67","Schlüsselitem 67"
668,"","Key Item 68","貴重品68","","소중한 것 68","Schlüsselitem 68"
669,"","Key Item 69","貴重品69","","소중한 것 69","Schlüsselitem 69"
670,"","Advertising Tissue","附有傳單的面紙","","광고가 들어간 포켓 티슈","Werbe-Taschentücher"
671,"","Jimiken's Autograph","吉米肯的親筆簽名","","지미켄의 친필 사인","Jimikens Autogramm"
672,"","Mirei's Ticket","米蕾的特製票券","","미레이의 특제 티켓","Mireis Karte"
673,"","Key Item 73","貴重品73","","소중한 것 73","Schlüsselitem 73"
674,"","Key Item 74","貴重品74","","소중한 것 74","Schlüsselitem 74"
675,"","Key Item 75","貴重品75","","소중한 것 75","Schlüsselitem 75"
676,"","Key Item 76","貴重品76","","소중한 것 76","Schlüsselitem 76"
677,"","Key Item 77","貴重品77","","소중한 것 77","Schlüsselitem 77"
678,"","Key Item 78","貴重品78","","소중한 것 78","Schlüsselitem 78"
679,"","Key Item 79","貴重品79","","소중한 것 79","Schlüsselitem 79"
680,"","Key Item 80","貴重品80","","소중한 것 80","Schlüsselitem 80"
