ID,Japanese,English
1277,,Matriz de Puntos
1278,,Desintegrador Corona
1279,,Velocidad Estelar
1280,,Bomba Milagrosa
1281,,Hoja Cruzada
1282,,Danza Lunática
1283,,Hueso Satánico
1284,,Sable Tridente
1285,,Tridente Prohibido
1286,,Mascarada Infernal
1287,,Ataque Tri-Cornio
1288,,Ola de Calor
1289,,Voz del Big Bang
1290,,Maripatada Desesperada
1291,,Matriz de Puntos
1293,,Aurora Ondulante 
1294,,Golpe del Dragon Ígneo
1295,,Revolución Cristalina
1296,,Voz Supersónica
1297,,Llama de Dios
1298,,Brillo de Abeja
1300,,Quo Vadis
1301,,Metal Valiente
1302,,Vórtice Penetrante
1303,,Martinete Volcánico
1304,,Ametralladora Destructiva
1305,,Llama de Megido
1306,,Millar de Golpes
1307,,Lluvia Oscura
1308,,Fulgor Definitivo
1309,,Matriz Divina
1311,,Desintegrador Aurora
1312,,Ama-no-Habakiri
1313,,Yakusa-no-Ikazuchi
1314,,Hálito Bebé
1315,,Amanita Mush-caria
1316,,Bomba de Hielo
1317,,Granada Destructora
1318,,Hálito de Plasma Azul
1319,,Hálito de Plasma Verde
1320,,Peso Pesado
1321,,Disparo Sagrado
1322,,Llamarada Sónica
1323,,Garra Demoledora
1324,,Garra Animal
1325,,Segadora de Almas
1326,,Cañones Hiperinfinitos
1327,,Gancho Destructor
1328,,Teatro del Simio
1329,,Decapitación Dracodivina
1330,,Arremetida Destructiva
1331,,Arma Definitiva Ouryuken
1332,,Bomba Milagrosa
1333,,Bala Mickey
1334,,Fuego Bendito
1335,,Perforación Divina
1336,,Onda Protectora
1337,,Perforación Divina (Desp.)
1338,,Onda Protectora (Desp.)
1339,,Bala Mickey (Despertar)
1340,,Fuego Bendito (Despertar)
1341,,Espíritu del Rock
1342,,Espíritu del Rock Duro
1343,,Cañón de Heavy Metal
1344,,Espada Grey
1345,,Cañón Garuru
1346,,Sueño Infinito
1348,,Vigésima Carga
1349,,Vingtième
1350,,Deslumbratar
1351,,Zwanglänze
1352,,Velocidad de Luz Estelar
1353,,Espada Santa: Gradalpha
1354,,Burbujas Ácidas
1355,,Burbujas Ácidas Poderosas
1356,,Burbujas Pegajosas
1357,,Mirada Fulminante
1358,,Colmillo Sonriente
1359,,Burbujas
1360,,Mordisco
1361,,Burbujas Elásticas
1362,,Pompas de Jabón
1363,,Burbujas de Aire
1364,,Cola de Zorro
1365,,Burbujas Venenosas
1366,,Desgarro Diminuto
1367,,Queso Bomba
1368,,Pica Chispeante
1369,,Hálito del Cocito
1370,,Ojo de Gorgona
1371,,Patada Voladora
1374,,Sable real
1375,,Elíseo final
1376,,Digitalización del Alma
1379,,Desenfundado Rápido
1380,,Hoja Rompecorazas
1381,,Espada del Dragón
1382,,Hoja del Dracorey Eterno
1383,,Zona Oscura
